age_bracket,fraction_male,fraction_female
0_4,0.5072820338791324,0.4927179661208676
5_9,0.5143419062027231,0.48565809379727687
10_14,0.5042457721966096,0.49575422780339046
15_19,0.5095747935148364,0.49042520648516363
20_24,0.5008890579524243,0.49911094204757567
25_29,0.48932760193640124,0.5106723980635988
30_34,0.47342490720788283,0.5265750927921172
35_39,0.45217097767838305,0.5478290223216169
40_44,0.47166389255581703,0.528336107444183
45_49,0.46218734673859735,0.5378126532614026
50_54,0.45774685462442244,0.5422531453755776
55_59,0.456717568283636,0.543282431716364
60_64,0.4402856984663086,0.5597143015336914
65_69,0.4294649313087491,0.5705350686912509
70_74,0.40903810133485075,0.5909618986651493
75_79,0.3875311569092346,0.6124688430907654
80_84,0.37135573580533027,0.6286442641946698
85_100,0.27915555555555555,0.7208444444444444
